Business ID, Review Count, # of check-ins, Tip count, Business Weight, Avg Influencer Weight,Avg Stars, True Stars 
WETE_LykpcnrC1sFcQ5EGg,6,7,1,25,7.4,3.2,3.5
P1fJb2WQ1mXoiudj8UE44w,46,63,12,650,144.25,3.6,3.5
6p9TlP2I8S4agxYMNFSDjg,33,96,8,325,55.35,3.15,3
FiXamVMgMf9U0VqFHDZSEA,17,77,0,100,78.7692307692,3.3846153846,3
uLnDFdn011hEroQQMLmxNQ,5,0,0,50,6.3333333333,3,3
usSROUMiAgPcxV3Ym0OxMQ,73,127,14,1325,85,3.9,4
u22QDAON1kk0wjoTliyftw,3,4,0,0,6.6666666667,4,4
53Yk2EODWnV9qHQECzeHVQ,5,3,1,0,23,3.4,3.5
T49ZvBa6mD4xHSmjHe-ArA,9,6,1,25,20,4,4
eOv0Dbq2E8sd0CKMAqTImw,15,8,0,25,22.4285714286,4.0714285714,4
QVZBd_eu0oJ4IN0md2XPTQ,3,0,0,0,298.3333333333,5,5
ZL6DNzyenFm9Kpz6uADlNg,46,33,1,650,112.25,2.8,2.5
OcTG-KzDleuRub-pb6JS3Q,5,4,0,25,9,4,4
g58NW9q4F09wTMiI7EIjmg,13,13,3,25,96.25,3.3333333333,3.5
Pu5uzlZ05pqVlx6LcZbfgw,7,9,2,25,33.1666666667,3.3333333333,3
B9C6j80ob0f1pwi1Cnnd1Q,23,17,4,75,152.6,2.9,3
2SwC8wqpZC4B9iFVTgYT9A,199,236,16,4475,489,3.95,4
PzG0XmAmtXFs6Fdnubf41g,143,165,25,3075,320.35,3.8,4
lHP5STO7aomlEQixH8m1aA,41,27,8,525,107.2,3.85,4
-iVcmhjfq79QoTWzrb6pKg,60,233,35,1000,138.55,4.45,4.5
l_Wey2YC6NvVUIH8vTygGg,54,34,4,850,60.4,4.15,4
-nO_qj9eP-os3baYyh8eNA,3,0,2,0,5.6666666667,3.6666666667,3.5
qUeBDN0D8SC93KeAHhiL-g,72,73,8,1300,173.3,4.6,4.5
VkqKyq09rDYMhFk5nElWWA,4,4,1,0,16,2.75,3
BbIh5NTizhV4Fq_mLmNkpg,3,0,1,0,9.3333333333,1.6666666667,1.5
PTkChuI3GPCw-ZL1Iph76A,6,10,0,25,10.2,3.6,3.5
rEKBr81s19Soh3dYj4bcGQ,3,0,0,0,506,3.3333333333,3.5
q_BKmbdlYfQJroJVHfYMUQ,71,61,6,1275,197.2,3.5,4
Z101WZaISochG6g7tI2ZVw,48,107,3,700,175.15,3,3
Eixtf79t1_ZKaC-7J2kAWg,14,3,1,50,53.1666666667,3.6666666667,3.5
yfuoL_w76WFVHcGJbw0IIg,6,0,0,0,174.6666666667,3.1666666667,3
YUZVBdGmagwXV-yOhR-1GQ,10,9,1,0,122.6,2.7,2.5
OIL-eZX8d10jgWPLW-E7zA,9,14,5,0,14,2.7777777778,3
QnyzlVMyx0Exri-Lay10cA,17,25,2,75,21,3.7857142857,3.5
93UCt9OgWYmypZCpXtUu8g,86,106,20,1650,80.45,3.55,3.5
PSlOtPIo28BvWOzdLmRRRQ,12,9,2,25,156.9090909091,3.0909090909,3
Cex2R008tMFg8R5fAtf77w,25,64,8,125,57.2,3.7,3.5
